7.82961,0.620061,0.9069496172332318,692.2660068405008
6.643536,0.639701,0.8239287771911264,581.9607603269203
6.473176,0.612111,0.7846503578335325,568.8526163546838
6.363187,0.645312,0.7669270156142868,559.6259977821992
6.210316,0.662146,0.7078191382027118,550.2497275664427
6.120396,0.670096,0.6766359285773518,544.3760628103096
6.053955,0.678045,0.6493171313098658,540.4638415185091
6.007659,0.706336,0.6388558330936966,536.8803712648767
5.918657,0.707271,0.609130309703194,530.9526882278585
5.888458,0.712883,0.6028507715073701,528.5607389931367
5.858499,0.724573,0.5893586645059496,526.9140116183557
5.819856,0.742577,0.5788909931745485,524.0964728524751
5.881491,0.69979,0.6067215666592678,527.476966130622
5.864145,0.721768,0.5967731789450779,526.7371586594626
5.794169,0.746551,0.5721900462268669,522.1979063800562
5.755598,0.744915,0.5603857682826363,519.521256035065
5.741279,0.755904,0.5660420535880829,517.5236989244122
5.689487,0.767594,0.537323382155639,515.2164053943669
5.656698,0.742343,0.5231081940999655,513.3590155200424
5.63775,0.753098,0.5164921321044459,512.1258115394094
5.62884,0.748422,0.514981259015676,511.38587081766576
5.734758,0.76058,0.5561222919724255,517.863553341304
5.659373,0.754267,0.5332636633000084,512.6109920893874
5.614478,0.730185,0.5127833413604264,510.16943735853533
5.570782,0.755202,0.49403337396193886,507.67487148391865
5.572149,0.773907,0.5016074315270531,507.0541638525847
5.529645,0.768763,0.4758783805105731,505.3766448689398
